sub,trial,emotion,valence,arousal,study
1,1,annoyed,53,-50,ug
1,2,relaxed,151,-187,ug
1,3,enthusiastic,149,132,ug
1,4,calm,142,-197,ug
1,5,disappointed,-163,-137,ug
1,6,aroused,127,155,ug
1,7,neutral,-1,0,ug
1,8,sluggish,-170,-146,ug
1,9,peppy,128,171,ug
1,10,quiet,1,-231,ug
1,11,still,-5,-166,ug
1,12,surprised,-14,144,ug
1,13,sleepy,48,-233,ug
1,14,nervous,-141,189,ug
1,15,afraid,-43,174,ug
1,16,satisfied,223,147,ug
1,17,disgusted,-147,154,ug
1,18,angry,-164,172,ug
1,19,happy,101,127,ug
1,20,sad,-106,-140,ug
2,1,relaxed,155,1,ug
2,2,calm,224,2,ug
2,3,sad,-207,-3,ug
2,4,surprised,1,126,ug
2,5,still,0,3,ug
2,6,aroused,39,193,ug
2,7,peppy,141,134,ug
2,8,disappointed,-150,100,ug
2,9,sleepy,-160,-196,ug
2,10,angry,-138,195,ug
2,11,annoyed,-194,1,ug
2,12,enthusiastic,227,229,ug
2,13,nervous,-200,85,ug
2,14,disgusted,-243,238,ug
2,15,satisfied,247,225,ug
2,16,neutral,-4,0,ug
2,17,afraid,-158,-99,ug
2,18,sluggish,-151,-195,ug
2,19,quiet,-2,-2,ug
2,20,happy,250,153,ug
3,1,enthusiastic,233,235,ug
3,2,surprised,1,232,ug
3,3,still,1,-247,ug
3,4,happy,244,110,ug
3,5,aroused,1,240,ug
3,6,afraid,-239,243,ug
3,7,neutral,0,0,ug
3,8,satisfied,239,12,ug
3,9,annoyed,-151,122,ug
3,10,relaxed,153,-168,ug
3,11,sad,-122,2,ug
3,12,nervous,-2,234,ug
3,13,angry,-217,174,ug
3,14,calm,212,-228,ug
3,15,disappointed,-193,18,ug
3,16,quiet,194,-230,ug
3,17,peppy,201,203,ug
3,18,sluggish,-3,-241,ug
3,19,disgusted,-182,173,ug
3,20,sleepy,-1,-210,ug
4,1,quiet,236,-243,ug
4,2,disappointed,-240,235,ug
4,3,sad,-230,229,ug
4,4,enthusiastic,241,238,ug
4,5,sluggish,-3,-236,ug
4,6,happy,233,231,ug
4,7,disgusted,-236,233,ug
4,8,angry,-236,238,ug
4,9,calm,239,-240,ug
4,10,aroused,3,243,ug
4,11,surprised,0,241,ug
4,12,sleepy,-1,-235,ug
4,13,relaxed,241,-237,ug
4,14,neutral,2,1,ug
4,15,satisfied,244,-2,ug
4,16,nervous,-244,242,ug
4,17,peppy,242,238,ug
4,18,afraid,-243,239,ug
4,19,annoyed,-241,244,ug
4,20,still,1,0,ug
5,1,angry,-129,-126,ug
5,2,sad,-182,-69,ug
5,3,quiet,-29,1,ug
5,4,enthusiastic,140,115,ug
5,5,surprised,40,100,ug
5,6,sleepy,-80,-131,ug
5,7,disappointed,-207,-206,ug
5,8,still,-8,-10,ug
5,9,calm,1,-1,ug
5,10,afraid,-118,-222,ug
5,11,disgusted,-238,-246,ug
5,12,sluggish,-60,-141,ug
5,13,nervous,-145,-110,ug
5,14,annoyed,-229,-217,ug
5,15,aroused,3,230,ug
5,16,relaxed,37,1,ug
5,17,neutral,2,3,ug
5,18,satisfied,150,18,ug
5,19,peppy,83,8,ug
5,20,happy,195,70,ug
6,1,angry,-200,11,ug
6,2,still,190,19,ug
6,3,neutral,1,1,ug
6,4,quiet,205,-2,ug
6,5,satisfied,0,208,ug
6,6,sluggish,-189,-4,ug
6,7,annoyed,-206,-3,ug
6,8,relaxed,211,-1,ug
6,9,disappointed,-223,-4,ug
6,10,calm,-1,238,ug
6,11,peppy,-21,-2,ug
6,12,sad,3,-193,ug
6,13,happy,0,237,ug
6,14,afraid,-216,0,ug
6,15,nervous,-218,4,ug
6,16,disgusted,-236,-3,ug
6,17,enthusiastic,235,-5,ug
6,18,aroused,-4,2,ug
6,19,surprised,203,1,ug
6,20,sleepy,-3,-4,ug
7,1,enthusiastic,136,207,ug
7,2,angry,-179,196,ug
7,3,nervous,-228,94,ug
7,4,annoyed,-49,46,ug
7,5,disgusted,-189,126,ug
7,6,calm,41,1,ug
7,7,quiet,57,-155,ug
7,8,relaxed,184,-233,ug
7,9,satisfied,225,-86,ug
7,10,sad,-204,71,ug
7,11,surprised,-2,216,ug
7,12,sluggish,-39,-206,ug
7,13,still,21,-123,ug
7,14,sleepy,1,-225,ug
7,15,neutral,2,-1,ug
7,16,disappointed,-175,5,ug
7,17,happy,180,87,ug
7,18,afraid,-239,225,ug
7,19,aroused,102,157,ug
7,20,peppy,212,161,ug
8,1,sad,-202,-200,ug
8,2,aroused,-1,221,ug
8,3,annoyed,-239,1,ug
8,4,happy,239,2,ug
8,5,quiet,0,-238,ug
8,6,sluggish,-1,-241,ug
8,7,afraid,-172,1,ug
8,8,surprised,-1,136,ug
8,9,disgusted,-149,-1,ug
8,10,neutral,0,2,ug
8,11,nervous,0,116,ug
8,12,satisfied,153,0,ug
8,13,still,1,-242,ug
8,14,peppy,0,235,ug
8,15,relaxed,0,-239,ug
8,16,angry,-230,-1,ug
8,17,sleepy,0,-246,ug
8,18,enthusiastic,3,238,ug
8,19,calm,0,-240,ug
8,20,disappointed,-208,0,ug
9,1,nervous,-205,202,ug
9,2,afraid,-187,84,ug
9,3,peppy,161,193,ug
9,4,calm,219,-227,ug
9,5,happy,197,48,ug
9,6,quiet,31,-115,ug
9,7,disgusted,-152,-18,ug
9,8,annoyed,-119,67,ug
9,9,surprised,-39,145,ug
9,10,satisfied,143,-139,ug
9,11,still,25,-211,ug
9,12,relaxed,144,-208,ug
9,13,aroused,91,220,ug
9,14,disappointed,-39,-171,ug
9,15,angry,-179,235,ug
9,16,sluggish,-83,-220,ug
9,17,sad,-204,-152,ug
9,18,enthusiastic,168,239,ug
9,19,neutral,0,-1,ug
9,20,sleepy,0,-216,ug
10,1,sad,-72,-88,ug
10,2,sluggish,-76,-85,ug
10,3,quiet,-53,-80,ug
10,4,annoyed,-81,-79,ug
10,5,still,-1,-137,ug
10,6,relaxed,-49,-112,ug
10,7,angry,-70,68,ug
10,8,surprised,80,113,ug
10,9,disgusted,-84,121,ug
10,10,disappointed,-114,-130,ug
10,11,neutral,1,-2,ug
10,12,happy,161,181,ug
10,13,aroused,1,234,ug
10,14,calm,59,-211,ug
10,15,afraid,-79,109,ug
10,16,enthusiastic,165,198,ug
10,17,nervous,-90,105,ug
10,18,satisfied,116,100,ug
10,19,sleepy,-98,-111,ug
10,20,peppy,144,127,ug
11,1,angry,-41,-68,ug
11,2,nervous,-31,-95,ug
11,3,quiet,-33,-83,ug
11,4,annoyed,-35,-75,ug
11,5,surprised,35,79,ug
11,6,relaxed,-60,-83,ug
11,7,sad,110,-107,ug
11,8,disgusted,-97,65,ug
11,9,still,8,-155,ug
11,10,satisfied,107,-95,ug
11,11,calm,121,-116,ug
11,12,sluggish,-115,-126,ug
11,13,afraid,-85,111,ug
11,14,neutral,0,1,ug
11,15,sleepy,0,-211,ug
11,16,enthusiastic,141,124,ug
11,17,aroused,3,232,ug
11,18,happy,91,183,ug
11,19,disappointed,-28,-151,ug
11,20,peppy,116,121,ug
12,1,sad,-147,-28,ug
12,2,neutral,0,1,ug
12,3,aroused,105,173,ug
12,4,nervous,-76,147,ug
12,5,still,2,-100,ug
12,6,disappointed,-134,24,ug
12,7,sluggish,-107,-166,ug
12,8,angry,-130,149,ug
12,9,peppy,123,144,ug
12,10,disgusted,-89,89,ug
12,11,satisfied,85,-53,ug
12,12,annoyed,-92,64,ug
12,13,surprised,28,94,ug
12,14,enthusiastic,151,147,ug
12,15,calm,87,-159,ug
12,16,relaxed,114,-143,ug
12,17,happy,168,92,ug
12,18,sleepy,3,-184,ug
12,19,quiet,1,-127,ug
12,20,afraid,-132,73,ug
14,1,satisfied,162,64,ug
14,2,happy,224,239,ug
14,3,sad,-88,-103,ug
14,4,sluggish,-93,-91,ug
14,5,relaxed,46,45,ug
14,6,still,0,-1,ug
14,7,quiet,-2,0,ug
14,8,peppy,79,145,ug
14,9,disappointed,-80,-65,ug
14,10,aroused,2,200,ug
14,11,disgusted,-93,-148,ug
14,12,calm,0,0,ug
14,13,sleepy,1,1,ug
14,14,surprised,193,224,ug
14,15,annoyed,-167,-168,ug
14,16,nervous,2,-178,ug
14,17,enthusiastic,83,44,ug
14,18,angry,-222,-134,ug
14,19,afraid,-213,-137,ug
14,20,neutral,-1,1,ug
15,1,disappointed,-84,16,ug
15,2,still,3,-104,ug
15,3,quiet,35,-186,ug
15,4,disgusted,-160,135,ug
15,5,satisfied,136,103,ug
15,6,surprised,55,99,ug
15,7,sleepy,-46,-151,ug
15,8,angry,-176,106,ug
15,9,aroused,243,242,ug
15,10,enthusiastic,159,140,ug
15,11,calm,66,-6,ug
15,12,neutral,1,-1,ug
15,13,nervous,-81,20,ug
15,14,annoyed,-77,72,ug
15,15,happy,102,46,ug
15,16,sad,-107,50,ug
15,17,peppy,142,152,ug
15,18,sluggish,-150,-158,ug
15,19,relaxed,97,-39,ug
15,20,afraid,-206,183,ug
16,1,quiet,133,-219,ug
16,2,sluggish,-128,-169,ug
16,3,angry,-125,132,ug
16,4,surprised,116,183,ug
16,5,aroused,231,236,ug
16,6,relaxed,237,-249,ug
16,7,happy,250,44,ug
16,8,peppy,229,210,ug
16,9,disappointed,-167,-152,ug
16,10,nervous,-117,132,ug
16,11,afraid,-181,234,ug
16,12,sad,-235,-186,ug
16,13,satisfied,249,-35,ug
16,14,annoyed,-149,70,ug
16,15,still,125,-247,ug
16,16,enthusiastic,248,134,ug
16,17,sleepy,1,-218,ug
16,18,disgusted,-211,196,ug
16,19,calm,1,-2,ug
16,20,neutral,-2,1,ug
18,1,happy,245,-7,ug
18,2,peppy,7,235,ug
18,3,surprised,6,227,ug
18,4,sleepy,4,-240,ug
18,5,nervous,-239,-5,ug
18,6,sad,-234,-7,ug
18,7,still,0,-183,ug
18,8,aroused,2,115,ug
18,9,disgusted,-230,3,ug
18,10,angry,-215,3,ug
18,11,satisfied,211,3,ug
18,12,enthusiastic,1,207,ug
18,13,relaxed,2,-1,ug
18,14,neutral,2,1,ug
18,15,disappointed,-237,-5,ug
18,16,sluggish,3,-238,ug
18,17,annoyed,-233,-2,ug
18,18,calm,0,1,ug
18,19,quiet,2,1,ug
18,20,afraid,-233,0,ug
19,1,sad,-76,-104,ug
19,2,enthusiastic,176,168,ug
19,3,sleepy,-31,-228,ug
19,4,sluggish,-112,-217,ug
19,5,relaxed,234,193,ug
19,6,afraid,-230,-235,ug
19,7,satisfied,168,25,ug
19,8,aroused,12,231,ug
19,9,angry,-208,143,ug
19,10,disappointed,-117,41,ug
19,11,neutral,1,1,ug
19,12,annoyed,-132,21,ug
19,13,nervous,-118,16,ug
19,14,calm,168,-33,ug
19,15,disgusted,-166,106,ug
19,16,surprised,163,161,ug
19,17,quiet,98,-1,ug
19,18,still,120,2,ug
19,19,happy,178,-1,ug
19,20,peppy,204,104,ug
20,1,peppy,141,162,ug
20,2,aroused,2,183,ug
20,3,surprised,32,160,ug
20,4,afraid,-222,208,ug
20,5,sleepy,1,-196,ug
20,6,quiet,1,-146,ug
20,7,nervous,-119,201,ug
20,8,disappointed,-124,-168,ug
20,9,annoyed,-127,74,ug
20,10,satisfied,134,1,ug
20,11,sad,-196,-52,ug
20,12,enthusiastic,202,202,ug
20,13,relaxed,97,-159,ug
20,14,sluggish,-38,-167,ug
20,15,happy,98,101,ug
20,16,angry,-207,164,ug
20,17,still,4,1,ug
20,18,disgusted,-150,-44,ug
20,19,neutral,2,0,ug
20,20,calm,119,-118,ug
21,1,satisfied,123,116,ug
