sub,trial,partner_contribution,valence,arousal,sub_contribution,sub_contribution_binary,study
907,1,1,66,99,0.5,cooperate,pd
907,2,0.1,-127,-169,0.1,defect,pd
907,3,0.7,54,34,0.4,defect,pd
907,4,0.2,-78,-117,0,defect,pd
907,5,0.4,-53,38,0.3,defect,pd
907,6,0.1,-197,-176,0,defect,pd
907,7,0,-171,-204,0,defect,pd
907,8,0.9,-100,-30,0.2,defect,pd
907,9,0.3,-65,-85,0.2,defect,pd
907,10,0.9,100,105,0.4,defect,pd
907,11,0.6,56,38,0.3,defect,pd
907,12,0.5,-62,-82,0.4,defect,pd
907,13,0.2,-142,-159,0,defect,pd
907,14,0.5,56,51,0.2,defect,pd
907,15,0.7,88,85,0.2,defect,pd
907,16,1,161,158,0.4,defect,pd
907,17,0.8,52,81,0.8,cooperate,pd
907,18,0.3,43,48,0.4,defect,pd
907,19,0,-122,-240,0,defect,pd
907,20,0.4,46,69,0.4,defect,pd
907,21,0.6,129,119,0.4,defect,pd
907,22,0.8,-62,-26,0.4,defect,pd
908,1,1,248,195,1,cooperate,pd
908,2,0.5,247,81,0.5,cooperate,pd
908,3,0,-242,2,0,defect,pd
908,4,1,248,131,1,cooperate,pd
908,5,0.7,249,61,0.7,cooperate,pd
908,6,0.8,248,134,0.8,cooperate,pd
908,7,0,-163,0,0,defect,pd
908,8,0.2,0,0,0.2,defect,pd
908,9,0.3,130,8,0.3,defect,pd
908,10,0.5,235,-5,0.5,cooperate,pd
908,11,0.1,-40,-4,0.1,defect,pd
908,12,0.2,-2,-3,0.2,defect,pd
908,13,0.7,123,57,0.7,cooperate,pd
908,14,0.9,250,106,0.9,cooperate,pd
908,15,0.9,242,117,0.9,cooperate,pd
908,16,0.4,116,3,0.4,defect,pd
908,17,0.3,-72,-51,0.3,defect,pd
908,18,0.8,203,139,0.8,cooperate,pd
908,19,0.4,57,7,0.4,defect,pd
908,20,0.6,132,31,0.6,cooperate,pd
908,21,0.1,-85,39,0.1,defect,pd
908,22,0.6,112,51,0.6,cooperate,pd
909,1,0.9,242,232,0.9,cooperate,pd
909,2,0.3,-105,-51,0.3,defect,pd
909,3,1,248,247,1,cooperate,pd
909,4,0.4,-33,-19,0.4,defect,pd
909,5,1,249,244,1,cooperate,pd
909,6,0.2,-131,-115,0.2,defect,pd
