sub,trial,partners_contribution,valence,arousal,sub_contribution,sub_contribution_binary,study
1303,1,2.4,135,29,0.8,cooperate,pgg
1303,1,2.4,190,42,0.8,cooperate,pgg
1303,2,2.5,161,165,0.7,cooperate,pgg
1303,2,2.5,116,49,0.8,cooperate,pgg
1303,3,1.2,-25,30,0.6,cooperate,pgg
1303,3,1.2,-28,3,0.6,cooperate,pgg
1303,4,1.5,6,-25,0.5,cooperate,pgg
1303,4,1.5,-29,33,0.5,cooperate,pgg
1303,5,2.3,105,55,0.5,cooperate,pgg
1303,5,2.3,138,160,1,cooperate,pgg
1303,6,1.4,39,21,0.5,cooperate,pgg
1303,6,1.4,-20,-35,0.6,cooperate,pgg
1303,7,0,3,-2,0.3,defect,pgg
1303,7,0,-233,29,1,cooperate,pgg
1303,8,1,27,16,0.5,cooperate,pgg
1303,8,1,44,4,0.8,cooperate,pgg
1303,9,1.9,101,47,0.7,cooperate,pgg
1303,9,1.9,-23,5,0.6,cooperate,pgg
1303,10,1.5,6,-25,0.5,cooperate,pgg
1303,10,1.5,-29,33,0.5,cooperate,pgg
1303,11,1.4,39,21,0.5,cooperate,pgg
1303,11,1.4,-20,-35,0.6,cooperate,pgg
1303,12,0.9,-45,8,0.3,defect,pgg
1303,12,0.9,-62,-58,0.5,cooperate,pgg
1303,13,0.8,-54,34,0.4,defect,pgg
1303,13,0.8,-27,-47,0.5,cooperate,pgg
1303,14,0.2,31,17,0.4,defect,pgg
1303,14,0.2,-89,-93,0.2,defect,pgg
1303,15,0.7,-187,32,0.5,cooperate,pgg
1303,15,0.7,-87,73,0.7,cooperate,pgg
1303,16,2.1,115,25,0.9,cooperate,pgg
1303,16,2.1,97,16,0.7,cooperate,pgg
1303,17,0.4,-83,10,0.4,defect,pgg
1303,17,0.4,-50,-106,0.1,defect,pgg
1303,18,1.1,10,17,0.8,cooperate,pgg
1303,18,1.1,-75,21,0.4,defect,pgg
1303,19,1.8,10,8,0.6,cooperate,pgg
1303,19,1.8,136,65,0.8,cooperate,pgg
1303,20,2.7,195,21,0.9,cooperate,pgg
1303,20,2.7,135,18,0.9,cooperate,pgg
1303,21,1.7,149,73,0.7,cooperate,pgg
1303,21,1.7,19,16,0.7,cooperate,pgg
1303,22,2,182,48,0.7,cooperate,pgg
1303,22,2,122,23,0.9,cooperate,pgg
1303,23,0.5,-106,15,0.3,defect,pgg
1303,23,0.5,-114,43,0.8,cooperate,pgg
