sub,trial,unfairness,valence,arousal,choice,study
1,1,0.5,167,64,0,ug
1,2,0.8,-32,-57,0,ug
1,3,0.95,-202,-225,0,ug
1,4,0.6,43,68,0,ug
1,5,0.75,8,9,0,ug
1,6,0.9,-44,-117,0,ug
1,7,0.75,-98,-108,0,ug
1,8,0.6,19,21,0,ug
1,9,0.95,-235,-240,0,ug
1,10,0.7,19,44,0,ug
1,11,0.85,-117,-142,0,ug
1,12,0.65,10,18,0,ug
1,13,0.85,-13,-10,0,ug
1,14,0.55,114,134,0,ug
1,15,0.9,-88,-142,0,ug
1,16,0.7,21,31,0,ug
1,17,0.8,-15,-27,0,ug
1,18,0.5,232,237,0,ug
1,19,0.65,7,13,0,ug
1,20,0.55,241,227,0,ug
2,1,0.6,161,147,0,ug
2,2,0.55,245,244,0,ug
2,3,0.85,-180,-202,1,ug
2,4,0.95,-245,244,1,ug
2,5,0.65,-3,0,0,ug
2,6,0.55,191,211,0,ug
2,7,0.8,-63,-69,1,ug
2,8,0.5,235,238,0,ug
2,9,0.9,-152,-118,1,ug
2,10,0.9,-184,-124,0,ug
2,11,0.75,-125,-114,0,ug
2,12,0.95,-221,-226,1,ug
2,13,0.85,-217,-171,1,ug
2,14,0.7,-79,-99,0,ug
2,15,0.6,-102,-125,0,ug
2,16,0.65,24,7,0,ug
2,17,0.7,73,106,0,ug
2,18,0.75,-170,-174,1,ug
2,19,0.5,236,241,0,ug
2,20,0.8,-151,-82,0,ug
3,1,0.9,-211,-51,0,ug
3,2,0.7,-84,-31,0,ug
3,3,0.55,21,-80,0,ug
3,4,0.7,-164,-32,0,ug
3,5,0.55,186,-3,0,ug
3,6,0.5,245,1,0,ug
3,7,0.75,-145,-20,0,ug
3,8,0.6,11,-1,0,ug
3,9,0.65,3,-2,0,ug
3,10,0.9,-188,-8,0,ug
3,11,0.8,-189,-44,0,ug
3,12,0.5,245,2,0,ug
3,13,0.6,218,0,0,ug
3,14,0.85,-209,-4,0,ug
3,15,0.65,33,-3,0,ug
3,16,0.95,-242,30,0,ug
3,17,0.85,-205,25,0,ug
3,18,0.75,-82,-4,0,ug
3,19,0.8,-171,-43,0,ug
3,20,0.95,-231,51,0,ug
4,1,0.5,244,232,0,ug
4,2,0.6,227,227,0,ug
4,3,0.5,244,245,0,ug
4,4,0.95,-241,235,1,ug
4,5,0.9,-237,246,0,ug
4,6,0.65,-244,235,1,ug
4,7,0.7,4,230,0,ug
4,8,0.55,229,234,0,ug
4,9,0.95,-235,237,1,ug
4,10,0.9,-236,238,1,ug
4,11,0.8,-230,236,1,ug
4,12,0.85,-236,232,1,ug
4,13,0.85,-240,233,1,ug
4,14,0.6,157,208,0,ug
4,15,0.75,-14,221,1,ug
4,16,0.8,-125,234,1,ug
4,17,0.75,-32,222,1,ug
4,18,0.55,232,224,0,ug
4,19,0.65,102,208,0,ug
4,20,0.7,76,208,0,ug
5,1,0.85,-135,3,0,ug
5,2,0.8,-133,0,0,ug
5,3,0.6,-51,-1,0,ug
5,4,0.55,-18,-1,0,ug
5,5,0.7,-128,-3,0,ug
5,6,0.95,-230,-3,1,ug
5,7,0.9,-199,3,1,ug
5,8,0.7,-65,-6,0,ug
5,9,0.9,-206,-2,1,ug
5,10,0.8,-159,-1,0,ug
5,11,0.85,-161,14,1,ug
5,12,0.75,-148,-2,0,ug
5,13,0.6,-53,6,0,ug
5,14,0.65,-96,-1,0,ug
5,15,0.95,-234,-86,1,ug
5,16,0.65,-90,-1,0,ug
5,17,0.5,164,0,0,ug
5,18,0.75,-103,1,0,ug
5,19,0.5,145,-1,0,ug
5,20,0.55,35,1,0,ug
6,1,0.55,187,-5,0,ug
6,2,0.6,-2,136,0,ug
6,3,0.9,-234,-1,1,ug
6,4,0.65,101,-5,0,ug
6,5,0.85,-234,-3,1,ug
6,6,0.5,236,0,0,ug
6,7,0.95,-237,4,1,ug
6,8,0.5,225,-5,0,ug
6,9,0.8,-228,1,1,ug
6,10,0.6,174,-6,0,ug
6,11,0.7,234,-2,0,ug
6,12,0.8,-232,2,1,ug
6,13,0.7,193,-1,0,ug
6,14,0.55,233,5,0,ug
6,15,0.9,-234,0,1,ug
6,16,0.85,-190,1,1,ug
6,17,0.65,213,-6,0,ug
6,18,0.75,226,-1,0,ug
6,19,0.95,-227,-1,1,ug
6,20,0.75,231,9,0,ug
7,1,0.7,-31,-1,0,ug
7,2,0.95,-14,19,1,ug
7,3,0.55,109,2,0,ug
7,4,0.9,-31,7,0,ug
7,5,0.6,39,27,0,ug
7,6,0.8,-18,3,0,ug
7,7,0.75,-7,-2,0,ug
7,8,0.95,-68,6,1,ug
7,9,0.55,194,23,0,ug
7,10,0.8,-14,3,0,ug
7,11,0.9,-77,2,0,ug
7,12,0.5,208,36,0,ug
7,13,0.5,222,51,0,ug
7,14,0.85,-42,4,0,ug
7,15,0.65,20,3,0,ug
7,16,0.6,155,22,0,ug
7,17,0.75,8,0,0,ug
7,18,0.7,8,3,0,ug
7,19,0.85,-11,1,0,ug
7,20,0.65,32,13,0,ug
8,1,0.5,174,-2,0,ug
8,2,0.55,101,1,0,ug
8,3,0.95,-216,172,0,ug
8,4,0.9,-208,130,0,ug
8,5,0.8,-164,2,0,ug
8,6,0.85,-164,-69,0,ug
8,7,0.65,100,-2,0,ug
